ID,task,CHOICE,scenario_id,age_idx,edu_idx,income_indiv_idx,dur1,dur2,dur3,fee1,fee2,fee3,exempt1,exempt2,exempt3,fee1_10k,fee2_10k,fee3_10k,age_idx_c,edu_idx_c,income_indiv_idx_c,age_c,edu_c,inc_c
0,0,1,86,3,3,5,10,10,24,1016000,362000,0,1,1,0,101.6,36.2,0.0,0.5,0.0,1.0,0.5,0.0,1.0
0,1,1,698,3,3,5,20,16,24,1975000,412000,0,1,1,0,197.5,41.2,0.0,0.5,0.0,1.0,0.5,0.0,1.0
0,2,1,501,3,3,5,3,15,24,478000,470000,0,1,1,0,47.8,47.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0
0,3,2,371,3,3,5,10,5,24,51000,126000,0,1,1,0,5.1,12.6,0.0,0.5,0.0,1.0,0.5,0.0,1.0
0,4,2,888,3,3,5,22,18,24,277000,561000,0,1,1,0,27.7,56.1,0.0,0.5,0.0,1.0,0.5,0.0,1.0
0,5,1,64,3,3,5,2,11,24,703000,276000,0,1,1,0,70.3,27.6,0.0,0.5,0.0,1.0,0.5,0.0,1.0
0,6,1,678,3,3,5,14,14,24,1376000,576000,0,1,1,0,137.6,57.6,0.0,0.5,0.0,1.0,0.5,0.0,1.0
0,7,2,779,3,3,5,14,9,24,428000,1524000,0,1,1,0,42.8,152.4,0.0,0.5,0.0,1.0,0.5,0.0,1.0
0,8,2,367,3,3,5,6,3,24,178000,463000,0,1,1,0,17.8,46.3,0.0,0.5,0.0,1.0,0.5,0.0,1.0
0,9,2,968,3,3,5,13,17,24,104000,243000,0,1,1,0,10.4,24.3,0.0,0.5,0.0,1.0,0.5,0.0,1.0
1,0,3,161,1,3,2,4,16,24,1837000,1593000,0,1,1,0,183.7,159.3,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
1,1,1,833,1,3,2,12,7,24,203000,253000,0,1,1,0,20.3,25.3,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
1,2,3,240,1,3,2,7,21,24,1772000,465000,0,1,1,0,177.2,46.5,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
1,3,3,683,1,3,2,19,20,24,781000,1482000,0,1,1,0,78.1,148.2,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
1,4,1,278,1,3,2,5,3,24,338000,1104000,0,1,1,0,33.8,110.4,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
1,5,1,781,1,3,2,20,2,24,68000,1901000,0,1,1,0,6.8,190.1,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
1,6,1,856,1,3,2,23,7,24,86000,403000,0,1,1,0,8.6,40.3,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
1,7,3,566,1,3,2,16,8,24,1976000,950000,0,1,1,0,197.6,95.0,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
1,8,3,348,1,3,2,2,4,24,404000,297000,0,1,1,0,40.4,29.7,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
1,9,3,437,1,3,2,7,22,24,422000,1376000,0,1,1,0,42.2,137.6,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
2,0,3,506,1,3,2,16,9,24,1442000,809000,0,1,1,0,144.2,80.9,0.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5
